event_time,event_id,target_table,is_hit,event_type,sub_type,type_operation,amount,policy_action,resolution_last,risk_score,rule,reason
2026-01-24 08:00:00,ae107b8e-4788-4073-9bb4-4f209a6e02aa,cards_event,True,PURCHASE,PURCHASE,CARD_PURCHASE,118410.20,deny,deny,841,DENY новый образовательный получатель и высокий риск устройства,education_payment_risk
2026-01-24 08:12:54,7c0c9ec1-57f6-48a7-8a1b-6f1b2e31f6ae,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,1063.38,,,,,
2026-01-24 09:07:09,72e0bed6-a95d-4100-b55c-dc6a6c9f08ce,uko_event,False,PAYMENT,UTILITY,UTILITY_PAYMENT,12280.58,,,,,
2026-01-24 09:31:27,ad2d7eef-d724-4b42-b3f0-41e95edd9ab5,uko_event,False,PAYMENT,UTILITY,UTILITY_PAYMENT,3360.06,,,,,
2026-01-24 09:43:51,5da60991-dba2-4040-8a49-81c1643e7308,uko_event,False,PAYMENT,UTILITY,UTILITY_PAYMENT,12729.79,,,,,
2026-01-24 10:26:42,37f79ad9-322a-433b-81c8-75c34ffd692f,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,3024.64,,,,,
2026-01-24 11:33:51,a7bf569e-af57-4c19-a392-abbb42754f9b,uko_event,False,PAYMENT,RURPAYMENT,PAYMENT_SBP,94286.90,,,,,
2026-01-24 11:57:09,26cda696-9e02-4d43-a698-4083e60144ff,uko_event,False,PAYMENT,RURPAYMENT,PAYMENT_SBP,95226.59,,,,,
2026-01-24 12:28:06,0d61ae73-4022-4559-b2f2-350371bf4aaf,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,737.05,,,,,
2026-01-24 12:52:24,284c7b66-57fb-4753-9299-a3766f1892f7,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,469.81,,,,,
2026-01-24 13:59:33,b2517dd0-7d56-43fb-9481-4a0527014d83,uko_event,False,PAYMENT,UTILITY,UTILITY_PAYMENT,13538.77,,,,,
2026-01-24 14:18:06,27b11ecd-4b72-408e-9d72-fc3d886de9a9,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,3403.58,,,,,
2026-01-24 14:30:30,4d863c0c-8e93-499d-a3b4-36664b5964e4,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,8259.46,,,,,
2026-01-24 14:42:24,9c85121b-1819-426e-8db4-28a7f413d5d7,cards_event,True,PURCHASE,PURCHASE,CARD_PURCHASE,81308.56,deny,allow,766,DENY нетипичная сумма оплаты курсов,education_payment_regular_hit
2026-01-24 14:54:48,0af3bd9f-5f16-43b9-aba4-3450afc7d876,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,7278.81,,,,,
2026-01-24 15:13:21,c1ebfe1d-7c35-4852-9816-7a31f65cdc87,uko_event,False,PAYMENT,RURPAYMENT,PAYMENT_SBP,3673.61,,,,,
2026-01-24 16:20:30,3db50d1d-6170-4ceb-a5d0-c8a2027ebb4b,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,1553.08,,,,,
2026-01-24 16:44:48,20c9ff32-f27a-451f-8d67-443ec88698a5,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,2118.33,,,,,
2026-01-24 17:15:45,397117bb-dc44-44d5-acc3-c462267ef478,uko_event,False,PAYMENT,UTILITY,UTILITY_PAYMENT,5672.54,,,,,
2026-01-24 17:39:03,3486d84b-4eba-4ba4-b044-94764fc9e7a4,uko_event,True,PAYMENT,EDUCATION,EDUCATION_PAYMENT,34199.48,deny,allow,874,DENY оплата обучения после смены устройства,education_payment_risk
2026-01-24 18:46:12,23093277-3a67-4164-89d0-570358a7018c,cards_event,False,PURCHASE,PURCHASE,CARD_PURCHASE,1373.99,,,,,
2026-01-24 19:05:45,f38be7bf-7c1c-4440-9bf4-08664bff023d,uko_event,False,PAYMENT,RURPAYMENT,PAYMENT_SBP,65161.55,,,,,
2026-01-24 19:29:03,0d1c04b8-678f-4736-9638-1316e0c1d0ef,uko_event,False,PAYMENT,RURPAYMENT,PAYMENT_SBP,99205.86,,,,,
